first;last;translation;answer;application;key
Este regalo es;María Soledad.;This gift is for María Soledad.;para;para: recipient;para
Ella estudia;abogada.;She is studying to be a lawyer.;para;para: purpose or goal;para
Ahora, siempre anda;el Parque Central.;Now, he is always hanging out at Central Park.;por;por: general physical movement in and around a given place;por
Viajaron;España.;They traveled through Spain.;por;por: general physical movement in and around a given place;por
Compró una pluma;cuatro dólares.;He bought a pen for four dollars.;por;Por: exchange or price;por
La Sra. Pacheco trabaja;una compañía grande.;Mrs. Pacheco works for a big company.;para;para: employment;para
Llama a sus clientes;teléfono todos los días.;He calls his clients on the phone every day.;por;por: by, on ( the phone);por
No voy a votar;nadie.;I am not going to vote for anyone.;por;por: in favor of;por
El límite de velocidad es cien kilómetros;hora en Guadalajara.;The speed limit is one hundred kilometers per hour in Guadalajara.;por;por: per;por
Gracias;el dinero.;Thank you for the money.;por;por: Expression: gracias por;por
Dos;cuatro son ocho.;Two times four equals eight.;por;por: multiplication and division;por
Voy a la oficina cinco veces;semana.;I go to the office five times per week.;por;por: per;por
Andamos;el parque.;We walk through the park.;por;por: through;por
Ella me paga doce dólares;el libro.;She pays me twelve dollars for the book.;por;por: money or exchange;por
Yo estudié;dos horas;I studied for two hours.;por;por: duration of time;por
Ellos viajan;la noche.;They travel at night.;por;por: during;por
Prefiero viajar;tren.;I prefer to travel by train.;por;por: by;por
Prefiero hablar;teléfono.;I prefer to talk on the phone.;por;por: by, on (the phone);por
Me toman;loco.;They take me for crazy.;por;por: to be seen as;por
Me tomaron;Carlos.;They took me for Carlos.;por;por: mistaken identity;por
Yo voy a pasar;ti a las dos.;I am going to pick you up at two o'clock.;por;por: reason (with ir, venir, pasar, mandar, volver, and preguntar);por
Nosotros estamos;cocinar la cena.;We are about to cook dinner.;por;por: about;por
Estámos listos;cocinar la cena.;We are ready to cook dinner.;para;para: to be ready;para
Ellos están;terminar el puente.;They are about to finish the bridge.;por;por: about;por
El perro murió;falta de comida.;The dog died due to lack of food.;por;por: cause or reason;por
Estoy;comer.;I'm about to eat.;por;por: about, to be in the mood, or inclined to do something;por
La película fue hecha;Pedro Almodóvar.;The movie was made by Pedro Almodovar.;por;por: by;por
Ya son las ocho,;lo visto no van a llegar a tiempo.;It's eight o'clock already, apparently they are not going to arrive on time.;por;por: Expression: apparently;por
El hombre salió;Montevideo.;The man left for Montevideo.;para;para: destination;para
La copa es;vino.;The glass is for wine.;para;para: use;para
Fui al restaurante;comer tapas.;I went to the restaurant to eat tapas.;para;para: in order to;para
Estos chocolates son;ti.;These chocolates are for you.;para;para: recipient;para
Necesito el traje;el martes.;I need the suit by Tuesday.;para;para: deadline or specific time;para
Ella habla muy bien;ser extranjera.;For being a foreigner, she speaks very well.;para;para: contrast from what is expected;para
¿;qué estudias español?;Why do you study Spanish?;por;por: cause or reason;por
¿;qué estudias español?;What do you study Spanish for?;para;para: purpose;para
Ella estudia;ser profesora de español.;She studies to be a Spanish teacher.;para;para: in order to;para
El estudiante fue;el libro.;The student went to go get the book.;por;por: cause or reason;por
Pasamos;el bosque.;We went through the forest.;por;por: through, along, by, in the area of;por
Caminamos;el centro.;We walk through downtown.;por;por: through, along, by, in the area of;por
;diez años estuve en México.;I was in Mexico for ten years.;Por;por: duration of time;por
;ahora, ellos esperan.;For the moment, they are waiting.;Por;Idiomatic expression: for now;por
Te doy diez dólares;el sombrero.;I will give you ten dollars for the hat.;por;por: money or exchange;por
Esta carta es;Lisa.;This letter is for Lisa.;para;para: recipient;para
